version,name
20260511023343,add_active_immunities_to_homebrew_monsters_v2_482
20260511043827,fix_join_campaign_by_code_ambiguous_column_v2_487
20260512182257,add_active_buffs_to_homebrew_monsters_v2_491
20260513221603,add_seconds_per_round_to_campaigns_v2_494
20260514173605,flip_use_combatants_default_v2_497
20260524190920,battle_maps_owner_only_rls_v2_512
20260524225539,entitlements_schema_v2_517
20260524225932,campaign_scene_limit_trigger_v2_517
20260524232624,scene_limit_enforce_v2_518
20260719020552,keep_warm_rpc_v2_550
20260720163616,fix_declare_save_batch_source_monster_text
20260720164628,add_concentration_slot_level_v2_605
20260721041922,add_wildshape_known_forms_v2_612
20260721054301,player_owned_combatant_policies_v2_616
20260721165203,add_class_choices_v2_622
20260726234121,add_expended_recharge_v2_628
20260727000940,add_weapon_masteries_v2_629
20260727015439,add_heroic_inspiration_v2_632
20260803162547,add_once_per_turn_used_v2_633
